,time,area,count
126,2023-03-16 06:19:00,Columbia,3
127,2023-03-16 06:19:00,Core,6
128,2023-03-16 06:19:00,Cortez Hill,1
129,2023-03-16 06:19:00,East Village,4
130,2023-03-16 06:19:00,Gaslamp,2
131,2023-03-16 06:19:00,Little Italy,1
132,2023-03-16 06:19:00,Marina,77
133,2023-03-16 06:20:00,Columbia,3
134,2023-03-16 06:20:00,Core,6
135,2023-03-16 06:20:00,Cortez Hill,1
136,2023-03-16 06:20:00,East Village,5
137,2023-03-16 06:20:00,Gaslamp,2
138,2023-03-16 06:20:00,Little Italy,1
139,2023-03-16 06:20:00,Marina,77
140,2023-03-16 06:21:00,Columbia,4
141,2023-03-16 06:21:00,Core,6
142,2023-03-16 06:21:00,Cortez Hill,1
143,2023-03-16 06:21:00,East Village,5
144,2023-03-16 06:21:00,Gaslamp,2
145,2023-03-16 06:21:00,Little Italy,1
146,2023-03-16 06:21:00,Marina,78
147,2023-03-16 06:22:00,Columbia,4
148,2023-03-16 06:22:00,Core,6
149,2023-03-16 06:22:00,Cortez Hill,1
150,2023-03-16 06:22:00,East Village,5
151,2023-03-16 06:22:00,Gaslamp,2
152,2023-03-16 06:22:00,Little Italy,2
153,2023-03-16 06:22:00,Marina,78
154,2023-03-16 06:23:00,Barrio Logan,1
155,2023-03-16 06:23:00,Columbia,4
156,2023-03-16 06:23:00,Core,6
157,2023-03-16 06:23:00,Cortez Hill,1
158,2023-03-16 06:23:00,East Village,6
159,2023-03-16 06:23:00,Gaslamp,2
160,2023-03-16 06:23:00,Little Italy,2
161,2023-03-16 06:23:00,Marina,78
162,2023-03-16 06:24:00,Barrio Logan,1
163,2023-03-16 06:24:00,Columbia,4
164,2023-03-16 06:24:00,Core,6
165,2023-03-16 06:24:00,Cortez Hill,1
166,2023-03-16 06:24:00,East Village,7
167,2023-03-16 06:24:00,Gaslamp,2
168,2023-03-16 06:24:00,Little Italy,2
169,2023-03-16 06:24:00,Marina,79
170,2023-03-16 06:24:00,University Heights,1
171,2023-03-16 06:25:00,Barrio Logan,1
172,2023-03-16 06:25:00,Columbia,4
173,2023-03-16 06:25:00,Core,7
174,2023-03-16 06:25:00,Cortez Hill,1
175,2023-03-16 06:25:00,East Village,7
176,2023-03-16 06:25:00,Gaslamp,2
177,2023-03-16 06:25:00,Little Italy,2
178,2023-03-16 06:25:00,Marina,81
179,2023-03-16 06:25:00,University Heights,1
180,2023-03-16 06:26:00,Barrio Logan,1
181,2023-03-16 06:26:00,Columbia,4
182,2023-03-16 06:26:00,Core,7
183,2023-03-16 06:26:00,Cortez Hill,1
184,2023-03-16 06:26:00,East Village,7
185,2023-03-16 06:26:00,Gaslamp,2
186,2023-03-16 06:26:00,Little Italy,2
187,2023-03-16 06:26:00,Marina,81
188,2023-03-16 06:26:00,University Heights,1
189,2023-03-16 06:27:00,Barrio Logan,1
190,2023-03-16 06:27:00,Columbia,4
191,2023-03-16 06:27:00,Core,7
192,2023-03-16 06:27:00,Cortez Hill,1
193,2023-03-16 06:27:00,East Village,7
194,2023-03-16 06:27:00,Gaslamp,2
195,2023-03-16 06:27:00,Little Italy,2
196,2023-03-16 06:27:00,Marina,81
197,2023-03-16 06:27:00,University Heights,1
198,2023-03-16 06:28:00,Barrio Logan,1
199,2023-03-16 06:28:00,Columbia,4
200,2023-03-16 06:28:00,Core,7
201,2023-03-16 06:28:00,Cortez Hill,1
202,2023-03-16 06:28:00,East Village,8
203,2023-03-16 06:28:00,Gaslamp,2
204,2023-03-16 06:28:00,Little Italy,2
205,2023-03-16 06:28:00,Marina,81
206,2023-03-16 06:28:00,University Heights,1
207,2023-03-16 06:29:00,Barrio Logan,1
208,2023-03-16 06:29:00,Columbia,4
209,2023-03-16 06:29:00,Core,7
210,2023-03-16 06:29:00,Cortez Hill,1
211,2023-03-16 06:29:00,East Village,9
212,2023-03-16 06:29:00,Gaslamp,2
213,2023-03-16 06:29:00,Little Italy,2
214,2023-03-16 06:29:00,Marina,82
215,2023-03-16 06:29:00,University Heights,1
216,2023-03-16 06:30:00,Barrio Logan,1
217,2023-03-16 06:30:00,Columbia,4
218,2023-03-16 06:30:00,Core,7
219,2023-03-16 06:30:00,Cortez Hill,1
220,2023-03-16 06:30:00,East Village,9
221,2023-03-16 06:30:00,Gaslamp,2
222,2023-03-16 06:30:00,Little Italy,2
223,2023-03-16 06:30:00,Marina,83
224,2023-03-16 06:30:00,University Heights,1
225,2023-03-16 06:31:00,Barrio Logan,1
226,2023-03-16 06:31:00,Columbia,4
227,2023-03-16 06:31:00,Core,7
228,2023-03-16 06:31:00,Cortez Hill,1
229,2023-03-16 06:31:00,East Village,9
230,2023-03-16 06:31:00,Gaslamp,2
231,2023-03-16 06:31:00,Little Italy,2
232,2023-03-16 06:31:00,Marina,83
233,2023-03-16 06:31:00,University Heights,1
234,2023-03-16 06:32:00,Barrio Logan,1
235,2023-03-16 06:32:00,Columbia,4
236,2023-03-16 06:32:00,Core,7
237,2023-03-16 06:32:00,Cortez Hill,1
238,2023-03-16 06:32:00,East Village,9
239,2023-03-16 06:32:00,Gaslamp,2
240,2023-03-16 06:32:00,Little Italy,2
241,2023-03-16 06:32:00,Marina,83
242,2023-03-16 06:32:00,University Heights,1
243,2023-03-16 06:33:00,Barrio Logan,1
244,2023-03-16 06:33:00,Columbia,6
245,2023-03-16 06:33:00,Core,8
246,2023-03-16 06:33:00,Cortez Hill,1
247,2023-03-16 06:33:00,East Village,13
248,2023-03-16 06:33:00,Gaslamp,2
249,2023-03-16 06:33:00,Little Italy,2
250,2023-03-16 06:33:00,Marina,83
251,2023-03-16 06:33:00,University Heights,1
252,2023-03-16 06:34:00,Barrio Logan,1
253,2023-03-16 06:34:00,Columbia,6
254,2023-03-16 06:34:00,Core,8
255,2023-03-16 06:34:00,Cortez Hill,1
256,2023-03-16 06:34:00,East Village,14
257,2023-03-16 06:34:00,Gaslamp,2
258,2023-03-16 06:34:00,Little Italy,2
259,2023-03-16 06:34:00,Marina,83
260,2023-03-16 06:34:00,University Heights,1
261,2023-03-16 06:35:00,Barrio Logan,1
262,2023-03-16 06:35:00,Columbia,6
263,2023-03-16 06:35:00,Core,8
264,2023-03-16 06:35:00,Cortez Hill,2
265,2023-03-16 06:35:00,East Village,14
266,2023-03-16 06:35:00,Gaslamp,2
267,2023-03-16 06:35:00,Little Italy,3
268,2023-03-16 06:35:00,Marina,83
269,2023-03-16 06:35:00,University Heights,1
270,2023-03-16 06:36:00,Barrio Logan,1
271,2023-03-16 06:36:00,Columbia,6
272,2023-03-16 06:36:00,Core,8
273,2023-03-16 06:36:00,Cortez Hill,2
274,2023-03-16 06:36:00,East Village,14
275,2023-03-16 06:36:00,Gaslamp,2
276,2023-03-16 06:36:00,Little Italy,3
277,2023-03-16 06:36:00,Marina,84
278,2023-03-16 06:36:00,North Park,1
279,2023-03-16 06:36:00,University Heights,1
280,2023-03-16 06:37:00,Barrio Logan,1
281,2023-03-16 06:37:00,Columbia,6
282,2023-03-16 06:37:00,Core,9
283,2023-03-16 06:37:00,Cortez Hill,2
284,2023-03-16 06:37:00,East Village,16
